Initialize godot-rust (API v4.6.stable.official, runtime v4.7.2.stable.mono.official, safeguards balanced)
Godot Engine v4.7.2.stable.mono.official.ed1daf0bf - https://godotengine.org

The Synaptic Sea coherent proof ship bootstrap loaded.
PLAYABLE SHIP READY player_spawned=true camera_spawned=true objectives=5 collision_shapes=112
ACHIEVEMENT UNLOCKED trigger=loot_searched target=loot_cargo_04 id=first_loot
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_07 granted=1
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_maintenance_08 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_compartment_09 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_maintenance_10 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_12 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_14 granted=1
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_15 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_maintenance_16 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_compartment_17 granted=1
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_19 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_storage_21 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_30 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_31 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_33 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_34 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_37 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_41 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_42 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_48 granted=3
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_49 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_54 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=container_56 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_cargo_03 granted=3
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_hangar_06 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_compartment_10 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_cargo_11 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_storage_15 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_cargo_17 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=loot_storage_20 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=container_27 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=container_41 granted=3
LOOT CONTAINER SEARCHED marker=-2:0:0 container=container_42 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=container_50 granted=2
LOOT CONTAINER SEARCHED marker=-2:0:0 container=container_66 granted=1
GameplaySliceBuilder slot_fallback room=storage_15 kind=salvage
LOOT CONTAINER SEARCHED marker=1:0:2 container=loot_bridge_03 granted=2
LOOT CONTAINER SEARCHED marker=1:0:2 container=loot_medical_06 granted=2
LOOT CONTAINER SEARCHED marker=1:0:2 container=loot_storage_10 granted=1
LOOT CONTAINER SEARCHED marker=1:0:2 container=loot_compartment_13 granted=2
LOOT CONTAINER SEARCHED marker=1:0:2 container=loot_storage_18 granted=2
LOOT CONTAINER SEARCHED marker=1:0:2 container=container_28 granted=2
GameplaySliceBuilder slot_fallback room=storage_08 kind=salvage
GameplaySliceBuilder slot_fallback room=compartment_09 kind=salvage
GameplaySliceBuilder slot_fallback room=storage_10 kind=salvage
GameplaySliceBuilder slot_fallback room=compartment_11 kind=salvage
LOOT CONTAINER SEARCHED marker=-1:-2:1 container=loot_engineering_11 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:1 container=loot_maintenance_15 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:1 container=container_35 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:1 container=container_37 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:1 container=container_38 granted=1
GameplaySliceBuilder slot_fallback room=compartment_09 kind=salvage
LOOT CONTAINER SEARCHED marker=-2:-1:2 container=loot_storage_09 granted=2
LOOT CONTAINER SEARCHED marker=-2:-1:2 container=container_20 granted=2
LOOT CONTAINER SEARCHED marker=-2:-1:2 container=container_21 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=loot_engineering_10 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=loot_storage_35 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=loot_cargo_42 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=container_55 granted=3
LOOT CONTAINER SEARCHED marker=0:-2:2 container=container_73 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=container_74 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:2 container=container_85 granted=3
LOOT CONTAINER SEARCHED marker=-1:-2:0 container=container_13 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:0 container=container_19 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:0 container=container_20 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:0 container=container_21 granted=2
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=loot_engineering_04 granted=2
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=loot_storage_16 granted=1
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=container_52 granted=2
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=container_53 granted=2
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=container_77 granted=1
LOOT CONTAINER SEARCHED marker=-2:-2:1 container=container_88 granted=2
